Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Alkaid;Star;13:47:32.44;+49:18:47.8;UMa;;;;;1.85;;;;;;;;;;;;;;;;;;HR 5191,eta UMa,HIP 67301,HD 120315;Alkaid;;;
Alkalurops;Star;15:24:29.43;+37:22:37.8;Boo;;;;;4.31;;;;;;;;;;;;;;;;;;HR 5733,mu01 Boo,HIP 75411,HD 137391;Alkalurops;;;
Alkaphrah;Star;09:03:37.53;+47:09:23.5;UMa;;;;;4.16;;;;;;;;;;;;;;;;;;HR 3594,kap UMa,HIP 44471,HD 77327;Alkaphrah;;;
Alkarab;Star;23:25:22.78;+23:24:14.8;Peg;;;;;4.42;;;;;;;;;;;;;;;;;;HR 8905,ups Peg,HIP 115623,HD 220657;Alkarab;;;
Alkes;Star;10:59:46.46;-18:17:55.6;Crt;;;;;4.08;;;;;;;;;;;;;;;;;;HR 4287,alf Crt,HIP 53740,HD 95272;Alkes;;;
Almaaz;Star;05:01:58.13;+43:49:23.9;Aur;;;;;3.03;;;;;;;;;;;;;;;;;;HR 1605,eps Aur,HIP 23416,HD 31964;Almaaz;;;
Almach;Star;02:03:53.95;+42:19:47.0;And;;;;;2.10;;;;;;;;;;;;;;;;;;HR 603,gam And,HIP 9640,HD 12533;Almach;;;
Alnair;Star;22:08:13.98;-46:57:39.5;Gru;;;;;1.73;;;;;;;;;;;;;;;;;;HR 8425,alf Gru,HIP 109268,HD 209952;Alnair;;;
Alnasl;Star;18:05:48.49;-30:25:26.8;Sgr;;;;;2.98;;;;;;;;;;;;;;;;;;HR 6746,gam02 Sgr,HIP 88635,HD 165135;Alnasl;;;
Alnilam;Star;05:36:12.81;-01:12:06.9;Ori;;;;;1.69;;;;;;;;;;;;;;;;;;HR 1903,eps Ori,HIP 26311,HD 37128;Alnilam;;;
Alnitak;Star;05:40:45.53;-01:56:33.3;Ori;;;;;1.74;;;;;;;;;;;;;;;;;;HR 1948,zet Ori,HIP 26727,HD 37742;Alnitak;;;
