Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
PK 2+01 1;PN;17:45:41.35;-25:37:51.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 2-02 3;PN;18:01:09.78;-27:38:25.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 2-03 6;PN;18:08:03.89;-28:23:31.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3+02 1;PN;17:41:52.79;-24:42:08.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3+03 1;PN;17:40:06.98;-24:25:44.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3-06 1;PN;18:17:41.96;-29:08:19.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3-04 7;PN;18:11:35.15;-28:22:37.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3-04 9;PN;18:12:47.98;-28:20:01.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3-02 3;PN;18:03:17.98;-27:06:16.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3-04 5;PN;18:11:52.85;-28:10:38.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3+03 2;PN;17:41:57.67;-24:11:25.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3-02 2;PN;18:03:11.99;-26:58:30.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3+07 1;PN;17:24:46.02;-21:33:44.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3-04 8;PN;18:12:34.14;-27:58:12.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3+05 1;PN;17:34:26.77;-22:53:20.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3-04 3;PN;18:11:29.25;-27:46:15.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3-04 4;PN;18:12:23.79;-27:52:13.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3-17 1;PN;19:05:36.37;-33:11:38.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3-02 1;PN;18:03:39.33;-26:43:24.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 3-14 1;PN;18:55:38.66;-32:15:54.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 4-03 1;PN;18:06:42.41;-26:55:20.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 4-05 3;PN;18:17:42.07;-28:17:18.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 4-11 1;PN;18:39:25.82;-30:40:36.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 4-04 1;PN;18:12:24.71;-27:28:54.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 4-05 5;PN;18:18:38.73;-28:08:05.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 4+01 1;PN;17:48:36.36;-24:16:35.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 4-02 1;PN;18:05:57.09;-26:29:41.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 4+06 2;PN;17:33:37.75;-21:46:17.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
