Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
vdB 56;RfN;05:43:43.35;+16:21:30.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 57;RfN;05:43:00.58;-02:18:45.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 58;RfN;05:44:26.77;-08:42:38.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 59;RfN;05:46:44.66;+00:05:22.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 60;RfN;05:47:07.91;+00:17:56.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 61;RfN;05:52:37.14;+05:09:52.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 62;RfN;05:54:02.99;+01:40:21.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 63;RfN;05:56:17.50;+01:51:53.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 64;RfN;05:57:54.09;-14:03:40.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 65;RfN;06:04:30.00;+30:31:00.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 66;RfN;06:03:05.35;-09:42:59.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 67;RfN;06:07:31.84;-06:23:57.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 68;RfN;06:08:03.85;-06:13:37.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 69;RfN;06:08:05.18;-06:21:40.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 70;RfN;06:08:26.28;-05:20:22.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 71;RfN;06:10:01.66;+14:04:30.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 72;RfN;06:09:31.25;-06:19:32.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 73;RfN;06:11:06.15;-06:12:38.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 74;RfN;06:11:48.80;-06:09:27.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 75;RfN;06:19:22.52;+23:16:28.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 76;RfN;06:30:47.06;+10:03:46.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 77;RfN;06:30:57.91;+09:48:34.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 78;RfN;06:31:14.87;+09:47:25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 79;RfN;06:31:43.32;+10:20:20.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
