Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
LDN 1;DrkN;16:28:51.46;-16:06:33.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 2;DrkN;18:07:14.71;-31:29:35.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 3;DrkN;18:03:13.92;-30:59:52.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 4;DrkN;17:02:30.12;-22:12:15.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 5;DrkN;17:16:15.50;-24:25:16.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 6;DrkN;17:09:01.68;-23:13:47.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 7;DrkN;17:28:36.43;-26:17:23.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 8;DrkN;16:46:25.82;-19:15:22.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 9;DrkN;17:10:01.70;-23:13:43.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 10;DrkN;17:57:48.53;-30:06:16.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 11;DrkN;17:08:07.20;-22:53:51.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 12;DrkN;17:58:12.55;-30:07:14.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 13;DrkN;17:04:00.12;-22:10:08.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 14;DrkN;17:25:05.28;-25:32:38.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 15;DrkN;17:04:24.12;-22:10:07.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 16;DrkN;17:16:02.98;-24:03:17.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 17;DrkN;17:08:00.98;-22:43:52.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 18;DrkN;17:09:01.22;-22:53:47.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 19;DrkN;17:29:06.07;-26:02:21.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 20;DrkN;17:08:30.98;-22:43:49.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 21;DrkN;17:29:05.93;-25:56:21.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 22;DrkN;16:46:55.44;-18:55:20.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 23;DrkN;17:17:14.90;-23:58:12.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 24;DrkN;17:17:32.98;-24:01:11.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 25;DrkN;17:32:30.36;-26:11:06.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 26;DrkN;18:05:13.13;-30:29:44.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 27;DrkN;16:27:50.28;-15:06:38.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 28;DrkN;17:19:03.05;-24:03:04.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 29;DrkN;18:06:49.34;-30:37:37.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 30;DrkN;17:13:01.56;-23:03:30.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 31;DrkN;16:49:55.73;-19:05:07.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 32;DrkN;17:11:00.94;-22:38:39.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 33;DrkN;16:41:23.42;-17:25:43.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 34;DrkN;17:48:09.26;-28:00:58.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 35;DrkN;17:56:28.92;-29:04:22.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 36;DrkN;17:28:40.87;-25:12:23.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 37;DrkN;17:20:02.86;-23:53:00.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 38;DrkN;17:11:18.72;-22:28:37.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 39;DrkN;17:11:36.77;-22:29:36.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 40;DrkN;17:57:10.92;-29:04:19.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 41;DrkN;18:05:12.36;-29:59:44.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 42;DrkN;17:33:05.66;-25:42:04.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 43;DrkN;16:34:27.34;-15:50:11.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 44;DrkN;17:20:02.62;-23:43:00.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 45;DrkN;17:31:05.16;-25:22:12.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 46;DrkN;17:13:00.89;-22:33:30.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 47;DrkN;16:49:55.10;-18:35:07.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 48;DrkN;17:58:10.82;-29:00:14.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 49;DrkN;18:02:11.59;-29:29:57.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 50;DrkN;17:25:03.65;-24:22:39.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 51;DrkN;17:12:36.58;-22:20:32.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 52;DrkN;17:32:11.16;-25:21:07.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 53;DrkN;17:23:08.98;-23:54:47.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 54;DrkN;17:23:33.05;-23:57:45.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 55;DrkN;17:23:02.93;-23:52:47.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 56;DrkN;17:15:00.94;-22:33:22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 57;DrkN;17:22:38.71;-23:43:49.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 58;DrkN;17:30:28.51;-24:55:15.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 59;DrkN;17:20:38.18;-23:22:57.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 60;DrkN;17:12:00.07;-21:58:34.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 61;DrkN;17:31:22.54;-24:55:11.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 62;DrkN;16:49:54.50;-18:05:07.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 63;DrkN;16:49:54.50;-18:05:07.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 64;DrkN;17:40:06.24;-26:01:33.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 65;DrkN;17:12:60.00;-21:53:30.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 66;DrkN;17:24:02.47;-23:32:43.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 67;DrkN;17:14:00.02;-21:53:26.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 68;DrkN;18:07:05.38;-29:21:36.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 69;DrkN;17:28:03.24;-24:02:25.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 70;DrkN;17:25:02.50;-23:32:38.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 71;DrkN;17:13:59.81;-21:43:26.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 72;DrkN;17:20:01.03;-22:33:00.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 73;DrkN;17:31:03.53;-24:12:13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 74;DrkN;17:38:05.04;-25:11:42.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 75;DrkN;18:08:11.06;-29:09:31.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 76;DrkN;17:37:04.78;-25:01:46.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 77;DrkN;17:19:00.62;-22:15:04.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 78;DrkN;18:01:09.58;-28:11:01.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 79;DrkN;17:14:59.50;-21:28:22.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 80;DrkN;17:39:04.92;-25:06:38.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 81;DrkN;17:25:01.78;-23:00:38.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 82;DrkN;17:46:06.31;-26:01:07.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 83;DrkN;16:34:19.51;-14:16:11.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 84;DrkN;17:36:04.06;-24:31:51.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 85;DrkN;17:26:01.80;-23:00:34.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 86;DrkN;17:21:00.62;-22:12:56.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 87;DrkN;17:18:36.00;-21:48:06.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 88;DrkN;17:20:30.38;-22:02:58.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 89;DrkN;17:18:29.88;-21:42:06.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 90;DrkN;17:39:34.58;-24:51:36.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 91;DrkN;17:23:31.01;-22:27:45.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LDN 92;DrkN;17:18:59.90;-21:43:04.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
