Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Sh2-55;HII;18:32:11.11;-11:45:43.6;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-56;HII;18:31:06.21;-09:42:52.6;;7;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-57;HII;18:30:33.60;-08:36:57.1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-58;HII;18:31:27.23;-08:27:49.3;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-59;HII;18:37:01.15;-07:36:01.0;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-60;HII;18:36:41.05;-06:42:03.7;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-61;HII;18:32:55.12;-05:00:36.1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-62;HII;18:27:34.45;-03:51:22.3;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-63;HII;19:57:43.18;-14:06:56.4;;55;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-64;HII;18:31:35.93;-01:54:47.0;;25;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-65;HII;18:46:58.12;-03:44:34.6;;7;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-66;HII;18:45:30.12;-01:59:46.9;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-67;HII;18:49:24.93;-02:21:13.4;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-68;HII;18:25:11.50;+00:51:17.8;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-69;HII;18:44:26.18;-00:16:55.8;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-70;HII;18:14:38.92;+07:03:46.9;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-71;HII;19:02:02.71;+02:09:34.9;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-72;HII;19:03:50.38;+02:18:50.0;;25;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-73;HII;16:11:07.63;+21:52:26.4;;75;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-74;HII;19:08:49.02;+05:36:32.4;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-75;HII;18:59:15.39;+07:07:12.0;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-76;HII;18:56:25.74;+07:48:48.1;;7;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-77;HII;19:48:17.28;+01:08:52.5;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-78;HII;19:03:11.13;+14:07:46.4;;12;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-79;HII;19:23:18.44;+13:58:33.9;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-80;HII;19:11:28.94;+16:51:56.5;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-81;HII;20:01:13.48;+11:47:33.7;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-82;HII;19:30:20.76;+18:16:32.0;;9;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-83;HII;19:24:32.15;+20:47:45.1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-84;HII;19:49:03.99;+18:24:01.0;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-85;HII;19:03:17.23;+25:49:49.4;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
