Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
LBN 55;Neb;18:15:53.74;-16:38:56.8;;60;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 56;Neb;18:15:53.74;-16:38:56.8;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 57;Neb;18:17:52.87;-15:58:48.0;;120;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 58;Neb;18:05:50.64;-14:09:40.7;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 59;Neb;18:16:52.25;-15:28:52.7;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 60;Neb;18:20:52.85;-15:58:35.0;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 61;Neb;18:12:51.02;-14:29:10.0;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 62;Neb;18:20:51.41;-14:48:35.3;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 63;Neb;18:30:52.75;-15:57:51.5;;80;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 64;Neb;18:22:51.17;-14:38:26.5;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 65;Neb;18:40:53.66;-16:47:08.2;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 66;Neb;18:25:51.36;-14:48:13.3;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 67;Neb;18:18:50.18;-13:48:43.9;;120;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 68;Neb;18:19:50.28;-13:53:39.5;;35;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 69;Neb;18:33:52.10;-15:27:38.5;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 70;Neb;18:19:49.15;-12:58:39.7;;180;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 71;Neb;18:18:48.55;-12:28:44.0;;80;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 72;Neb;18:17:47.93;-11:58:48.4;;60;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 73;Neb;18:32:47.59;-11:45:43.2;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 74;Neb;18:32:47.59;-11:45:43.2;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 75;Neb;18:31:46.44;-10:47:47.4;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 76;Neb;18:31:46.44;-10:47:47.4;;35;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 77;Neb;18:30:45.05;-09:37:52.0;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 78;Neb;18:30:43.87;-08:37:52.0;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 79;Neb;18:31:43.66;-08:27:47.5;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 80;Neb;18:36:42.65;-07:37:26.0;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 81;Neb;18:34:41.78;-06:52:34.7;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 82;Neb;18:36:41.47;-06:37:26.0;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 83;Neb;19:45:49.80;-14:52:39.0;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 84;Neb;18:33:39.55;-04:57:38.9;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 85;Neb;18:27:38.21;-03:48:05.0;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 86;Neb;19:57:48.82;-14:21:52.6;;70;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 87;Neb;19:45:47.38;-12:42:38.9;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 88;Neb;17:18:26.71;+06:06:54.0;;12;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 89;Neb;19:45:46.82;-12:12:38.9;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 90;Neb;18:31:36.26;-02:07:48.0;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 91;Neb;18:46:38.09;-03:43:43.0;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 92;Neb;18:45:36.05;-01:56:47.4;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 93;Neb;18:24:32.81;+00:51:41.8;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 94;Neb;18:49:36.48;-02:19:30.4;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 95;Neb;18:34:33.77;+00:02:25.1;;12;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 96;Neb;18:30:32.62;+01:02:07.8;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 97;Neb;18:31:32.40;+01:13:12.0;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 98;Neb;18:31:32.21;+01:22:12.0;;22;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 99;Neb;18:43:34.13;-00:16:55.9;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 100;Neb;19:45:41.62;-07:22:39.4;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 101;Neb;19:45:40.03;-05:52:39.4;;180;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 102;Neb;18:14:25.51;+07:03:58.0;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 103;Neb;19:01:31.39;+02:09:20.5;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 104;Neb;19:04:31.13;+02:24:33.1;;35;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 105;Neb;16:10:09.96;+21:52:13.8;;60;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 106;Neb;16:13:10.01;+21:42:25.6;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 107;Neb;18:54:26.93;+06:02:50.6;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 108;Neb;20:02:35.74;-01:51:33.8;;150;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 109;Neb;19:09:27.58;+05:34:54.1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 110;Neb;18:56:24.91;+07:48:59.0;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 111;Neb;20:13:35.18;-01:20:53.2;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 112;Neb;20:46:38.83;-05:38:58.2;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 113;Neb;20:13:34.68;-00:50:53.2;;70;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 114;Neb;20:31:36.17;-02:29:48.8;;85;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 115;Neb;20:25:35.28;-01:30:09.7;;35;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 116;Neb;20:11:34.20;-00:21:00.4;;140;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 117;Neb;21:14:39.94;-07:47:31.2;;360;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 118;Neb;20:54:37.94;-04:48:32.0;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 119;Neb;20:27:34.63;-00:50:02.8;;140;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 120;Neb;20:33:35.09;-01:19:41.9;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 121;Neb;20:36:34.61;-00:49:31.8;;70;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 122;Neb;20:25:33.05;+00:50:50.3;;42;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 123;Neb;20:27:32.76;+01:09:57.2;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 124;Neb;20:32:34.06;-00:12:45.4;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 125;Neb;20:31:32.62;+01:20:11.0;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 126;Neb;19:49:21.79;+11:27:35.6;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 127;Neb;19:11:14.57;+16:50:02.0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 128;Neb;19:30:13.44;+18:15:19.8;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 129;Neb;19:30:13.44;+18:16:19.9;;7;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 130;Neb;19:27:10.25;+20:47:07.8;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 131;Neb;19:48:14.04;+18:22:31.4;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 132;Neb;20:25:20.23;+14:09:49.7;;120;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 133;Neb;19:25:07.68;+22:45:59.4;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 134;Neb;19:26:07.70;+22:46:03.4;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 135;Neb;19:43:07.90;+23:17:11.8;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 136;Neb;19:46:06.29;+24:42:23.4;;17;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 137;Neb;19:46:05.71;+25:10:23.5;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 138;Neb;19:46:05.69;+25:11:23.6;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 139;Neb;19:46:05.50;+25:20:23.3;;18;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 140;Neb;21:42:29.71;+06:13:44.0;;180;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 141;Neb;20:27:14.33;+19:59:56.4;;160;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 142;Neb;22:28:23.95;+20:35:21.1;;200;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 143;Neb;20:41:17.06;+18:10:44.8;;120;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 144;Neb;19:49:03.79;+26:48:35.3;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
